__run_id,__done,dataset,algorithm,hardware,execution_time,peak_memory,energy_consumption,dram_energy,package_energy,cpu_utilization,gpu_utilization,,,,
run_0_repetition_0,DONE,synthetic1,DESeq2,CPU,20,4668301312, , , ,8.980313314124942, ,1343958.13,821,0.34375,9958.1875
run_1_repetition_0,DONE,synthetic1,DESeq2,GPU,20,4753088512, , , ,11.302348216374714, ,504981.485,998,0.4166666666666667,13008.833333333334
run_2_repetition_0,DONE,synthetic1,TPM,CPU,20,4637622272, , , ,8.309094339609146, ,1349271.538,809,0.375,9869.03125
run_3_repetition_0,DONE,synthetic1,TPM,GPU,20,4740943872, , , ,10.824285278717678, ,506946.299,998,0.5,13052.583333333334
run_4_repetition_0,DONE,synthetic1,FPKM,CPU,20,4689928192, , , ,8.302582440897822, ,1354546.865,809,0.125,9856.125
run_5_repetition_0,DONE,synthetic1,FPKM,GPU,20,4769390592, , , ,10.980590413014093, ,508905.116,998,0.5833333333333334,13817.5
run_6_repetition_0,DONE,synthetic2,DESeq2,CPU,20,4679270400, , , ,8.370869044214487, ,1359739.993,809,0.03125,9833.25
run_7_repetition_0,DONE,synthetic2,DESeq2,GPU,20,4772966400, , , ,11.075646976629892, ,510874.188,998,0.5833333333333334,13613.833333333334
run_8_repetition_0,DONE,synthetic2,TPM,CPU,20,4706205696, , , ,8.337159289047122, ,1365006.671,809,0.03125,9830.125
run_9_repetition_0,DONE,synthetic2,TPM,GPU,20,4709990400, , , ,11.369933957854906, ,512845.298,998,0.5,13602.916666666666
run_10_repetition_0,DONE,synthetic2,FPKM,CPU,20,4646752256, , , ,8.357819964177907, ,1370279.804,809,0.03125,9815.625
run_11_repetition_0,DONE,synthetic2,FPKM,GPU,20,4722630656, , , ,10.92207983136177, ,514806.003,998,0.6666666666666666,13193.5
run_12_repetition_0,DONE,real_data,DESeq2,CPU,20,4632436736, , , ,8.321796623058617, ,1375475.677,809,0.03125,9868.8125
run_13_repetition_0,DONE,real_data,DESeq2,GPU,20,4739571712, , , ,10.795972317457199, ,516765.574,998,0.5833333333333334,13310.583333333334
run_14_repetition_0,DONE,real_data,TPM,CPU,20,4611104768, , , ,8.833850575610995, ,1380758.775,809,15.125,10006.15625
run_15_repetition_0,DONE,real_data,TPM,GPU,20,4720705536, , , ,10.762738779187202, ,518810.221,998,0.5833333333333334,13775.25
run_16_repetition_0,DONE,real_data,FPKM,CPU,20,4624084992, , , ,8.490611366927624, ,1386197.38,809,0.03125,9899.375
run_17_repetition_0,DONE,real_data,FPKM,GPU,20,4704153600, , , ,11.068885564804077, ,520795.837,998,0.6666666666666666,13833.5
